,LGA,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
531,Ofu,88%,12%,0%,0%,0%,0%
532,Ogba-Egbema-Ndoni,100%,0%,0%,0%,0%,0%
533,Ogbadibo,0%,73%,27%,0%,0%,0%
534,Ogbaru,0%,0%,8%,92%,0%,0%
535,Ogbia,92%,0%,8%,0%,0%,0%
536,Ogbomosho North,40%,60%,0%,0%,0%,0%
537,Ogbomosho South,100%,0%,0%,0%,0%,0%
538,Ogo Oluwa,11%,89%,0%,0%,0%,0%
539,Ogoja,0%,9%,9%,82%,0%,0%
540,Ogu-Bolo,50%,50%,0%,0%,0%,0%
541,Ogun Waterside,100%,0%,0%,0%,0%,0%
542,Oguta,0%,30%,30%,40%,0%,0%
543,Ohafia,100%,0%,0%,0%,0%,0%
544,Ohaji/Egbema,38%,50%,0%,12%,0%,0%
545,Ohaozara,0%,0%,33%,67%,0%,0%
546,Ohaukwu,0%,0%,31%,69%,0%,0%
547,Ohimini,36%,36%,0%,27%,0%,0%
548,Oji River,0%,33%,27%,40%,0%,0%
549,Ojo,25%,47%,9%,19%,0%,0%
550,Oju,0%,82%,0%,18%,0%,0%
551,Oke Ero,0%,95%,0%,5%,0%,0%
552,Okehi,0%,100%,0%,0%,0%,0%
553,Okene,0%,100%,0%,0%,0%,0%
554,Okigwe,100%,0%,0%,0%,0%,0%
555,Okirika,0%,8%,67%,25%,0%,0%
556,Okitipupa,0%,100%,0%,0%,0%,0%
557,Okobo,56%,44%,0%,0%,0%,0%
558,Okpe,0%,20%,20%,60%,0%,0%
559,Okpokwu,91%,9%,0%,0%,0%,0%
560,Ola-Oluwa,38%,38%,0%,25%,0%,0%
561,Olamaboro,50%,25%,12%,12%,0%,0%
562,Olorunda,25%,75%,0%,0%,0%,0%
563,Olorunsogo,100%,0%,0%,0%,0%,0%
564,Oluyole,82%,18%,0%,0%,0%,0%
565,Omala,50%,12%,25%,12%,0%,0%
566,Omuma,0%,100%,0%,0%,0%,0%
567,Ona Ara,44%,56%,0%,0%,0%,0%
568,Ondo East,9%,64%,18%,9%,0%,0%
569,Ondo West,55%,45%,0%,0%,0%,0%
570,Onicha,45%,45%,9%,0%,0%,0%
571,Onitsha North,7%,43%,0%,50%,0%,0%
572,Onitsha South,8%,15%,0%,77%,0%,0%
573,Onna,0%,55%,0%,45%,0%,0%
574,Onuimo,0%,90%,0%,10%,0%,0%
575,Opobo-Nkoro,100%,0%,0%,0%,0%,0%
576,Oredo,0%,90%,0%,10%,0%,0%
577,Orelope,0%,100%,0%,0%,0%,0%
578,Orhionmwon,0%,80%,10%,10%,0%,0%
579,Ori-Ade,0%,100%,0%,0%,0%,0%
580,Orire,89%,11%,0%,0%,0%,0%
581,Orlu,20%,60%,10%,10%,0%,0%
582,Orolu,0%,50%,38%,12%,0%,0%
583,Oron,100%,0%,0%,0%,0%,0%
584,Orsu,50%,10%,0%,40%,0%,0%
585,Oru East,91%,9%,0%,0%,0%,0%
586,Oru West,0%,90%,0%,10%,0%,0%
587,Oruk Anam,11%,89%,0%,0%,0%,0%
588,Orumba North,0%,100%,0%,0%,0%,0%
589,Orumba South,7%,50%,0%,43%,0%,0%
590,Ose,0%,100%,0%,0%,0%,0%
591,Oshimili North,0%,70%,0%,30%,0%,0%
592,Oshimili South,0%,40%,0%,60%,0%,0%
593,Oshodi-Isolo,33%,36%,6%,24%,0%,0%
594,Osisioma,0%,0%,0%,100%,0%,0%
595,Osogbo,25%,75%,0%,0%,0%,0%
596,Oturkpo,36%,55%,0%,9%,0%,0%
597,Ovia North-East,0%,100%,0%,0%,0%,0%
598,Ovia South-West,0%,90%,10%,0%,0%,0%
599,Owan East,0%,100%,0%,0%,0%,0%
600,Owan West,0%,60%,10%,30%,0%,0%
601,Owerri Municipal,8%,38%,8%,46%,0%,0%
602,Owerri North,56%,33%,0%,11%,0%,0%
603,Owerri West,0%,88%,0%,12%,0%,0%
604,Owo,0%,91%,0%,9%,0%,0%
605,Oye,64%,18%,9%,9%,0%,0%
606,Oyi,8%,77%,0%,15%,0%,0%
607,Oyigbo,0%,25%,17%,58%,0%,0%
608,Oyo East,90%,10%,0%,0%,0%,0%
609,Oyo West,100%,0%,0%,0%,0%,0%
610,Oyun,0%,100%,0%,0%,0%,0%
611,Paikoro,0%,100%,0%,0%,0%,0%
612,Pankshin,75%,25%,0%,0%,0%,0%
613,Patani,67%,33%,0%,0%,0%,0%
614,Port Harcourt,8%,85%,0%,8%,0%,0%
615,Potiskum,0%,71%,14%,14%,0%,0%
616,Quaran Pan,100%,0%,0%,0%,0%,0%
617,Rafi,0%,62%,0%,38%,0%,0%
618,Rano,0%,71%,0%,29%,0%,0%
619,Remo North,17%,75%,0%,8%,0%,0%
620,Rimi,0%,100%,0%,0%,0%,0%
621,Rimin Gado,0%,71%,14%,14%,0%,0%
622,Ringim,62%,25%,0%,12%,0%,0%
623,Riyom,100%,0%,0%,0%,0%,0%
624,Rogo,0%,86%,0%,14%,0%,0%
625,Roni,38%,38%,25%,0%,0%,0%
626,Sabon Gari,0%,60%,20%,20%,0%,0%
627,Sagbama,90%,10%,0%,0%,0%,0%
628,Sakaba,11%,89%,0%,0%,0%,0%
629,Saki East,55%,45%,0%,0%,0%,0%
630,Saki West,91%,9%,0%,0%,0%,0%
631,Sandamu,0%,75%,25%,0%,0%,0%
632,Sanga,18%,82%,0%,0%,0%,0%
633,Sapele,0%,100%,0%,0%,0%,0%
634,Sardauna,100%,0%,0%,0%,0%,0%
635,Shagamu,75%,25%,0%,0%,0%,0%
636,Shagari,100%,0%,0%,0%,0%,0%
637,Shanga,25%,75%,0%,0%,0%,0%
638,Shani,0%,83%,0%,17%,0%,0%
639,Shanono,0%,71%,0%,29%,0%,0%
640,Shelleng,43%,43%,0%,14%,0%,0%
641,Shendam,100%,0%,0%,0%,0%,0%
642,Shira,40%,40%,0%,20%,0%,0%
643,Shiroro,0%,100%,0%,0%,0%,0%
644,Shongom,36%,36%,18%,9%,0%,0%
645,Silame,100%,0%,0%,0%,0%,0%
646,Soba,100%,0%,0%,0%,0%,0%
647,Sokoto North,29%,29%,0%,43%,0%,0%
648,Sokoto South,14%,79%,0%,7%,0%,0%
649,Somolu,29%,24%,0%,47%,0%,0%
650,Song,29%,57%,14%,0%,0%,0%
651,Southern Ijaw,100%,0%,0%,0%,0%,0%
652,Sule Tankarkar,0%,0%,75%,25%,0%,0%
653,Suleja,71%,14%,0%,14%,0%,0%
654,Sumaila,0%,57%,0%,43%,0%,0%
655,Suru,12%,75%,0%,12%,0%,0%
656,Surulere,20%,47%,2%,31%,0%,0%
657,Tafa,0%,78%,0%,22%,0%,0%
658,Tafawa Balewa,10%,80%,0%,10%,0%,0%
659,Tai,0%,8%,0%,92%,0%,0%
660,Takai,0%,57%,14%,29%,0%,0%
661,Takum,75%,25%,0%,0%,0%,0%
662,Talata-Mafara,69%,23%,8%,0%,0%,0%
663,Tambuwal,29%,71%,0%,0%,0%,0%
664,Tangaza,100%,0%,0%,0%,0%,0%
665,Tarauni,0%,71%,29%,0%,0%,0%
666,Tarka,0%,45%,36%,18%,0%,0%
667,Tarmuwa,29%,71%,0%,0%,0%,0%
668,Taura,100%,0%,0%,0%,0%,0%
669,Tofa,0%,100%,0%,0%,0%,0%
670,Toro,20%,60%,10%,10%,0%,0%
671,Toto,0%,25%,38%,38%,0%,0%
672,Toungo,11%,89%,0%,0%,0%,0%
673,Tsafe,60%,20%,10%,10%,0%,0%
674,Tsanyawa,0%,100%,0%,0%,0%,0%
675,Tudun Wada,14%,86%,0%,0%,0%,0%
676,Udenu,0%,100%,0%,0%,0%,0%
677,Udi,17%,67%,0%,17%,0%,0%
678,Udu,0%,100%,0%,0%,0%,0%
679,Udung-Uko,100%,0%,0%,0%,0%,0%
680,Ughelli North,0%,27%,27%,45%,0%,0%
681,Ughelli South,0%,100%,0%,0%,0%,0%
682,Ugwunagbo,42%,33%,17%,8%,0%,0%
683,Uhunmwonde,0%,30%,0%,70%,0%,0%
684,Ukanafun,10%,60%,0%,30%,0%,0%
685,Ukum,9%,91%,0%,0%,0%,0%
686,Ukwa East,0%,58%,25%,17%,0%,0%
687,Ukwa West,0%,50%,50%,0%,0%,0%
688,Ukwuani,0%,100%,0%,0%,0%,0%
689,Umu Nneochi,100%,0%,0%,0%,0%,0%
690,Umuahia North,9%,55%,0%,36%,0%,0%
691,Umuahia South,43%,43%,0%,14%,0%,0%
692,Ungogo,14%,29%,0%,57%,0%,0%
693,Uruan,0%,33%,44%,22%,0%,0%
694,Urue-Offong/Oruko,55%,27%,0%,18%,0%,0%
695,Ushongo,55%,45%,0%,0%,0%,0%
696,Ussa,100%,0%,0%,0%,0%,0%
697,Uvwie,0%,100%,0%,0%,0%,0%
698,Uyo,17%,56%,11%,17%,0%,0%
699,Uzo-Uwani,33%,17%,0%,50%,0%,0%
700,Vandeikya,0%,82%,0%,18%,0%,0%
701,Wamakko,43%,14%,0%,43%,0%,0%
702,Wamba,50%,30%,10%,10%,0%,0%
703,Warawa,0%,86%,14%,0%,0%,0%
704,Warji,20%,80%,0%,0%,0%,0%
705,Warri North,71%,29%,0%,0%,0%,0%
706,Warri South,0%,90%,0%,10%,0%,0%
707,Warri South West,90%,10%,0%,0%,0%,0%
708,Wase,100%,0%,0%,0%,0%,0%
709,Wudil,0%,71%,14%,14%,0%,0%
710,Wukari,22%,67%,0%,11%,0%,0%
711,Wurno,100%,0%,0%,0%,0%,0%
712,Wushishi,100%,0%,0%,0%,0%,0%
713,Yabo,86%,14%,0%,0%,0%,0%
714,Yagba East,0%,75%,0%,25%,0%,0%
715,Yagba West,0%,25%,0%,75%,0%,0%
716,Yakurr,9%,27%,0%,64%,0%,0%
717,Yala,0%,55%,0%,45%,0%,0%
718,Yamaltu/Deba,9%,73%,9%,9%,0%,0%
719,Yankwashi,50%,12%,25%,12%,0%,0%
720,Yauri,0%,62%,0%,38%,0%,0%
721,Yenagoa,50%,36%,0%,14%,0%,0%
722,Yewa North,100%,0%,0%,0%,0%,0%
723,Yewa South,94%,0%,0%,6%,0%,0%
724,Yola North,0%,71%,0%,29%,0%,0%
725,Yola South,0%,100%,0%,0%,0%,0%
726,Yorro,62%,25%,12%,0%,0%,0%
727,Yunusari,14%,86%,0%,0%,0%,0%
728,Yusufari,0%,86%,0%,14%,0%,0%
729,Zaki,70%,20%,0%,10%,0%,0%
730,Zango,100%,0%,0%,0%,0%,0%
731,Zangon Kataf,33%,67%,0%,0%,0%,0%
732,Zaria,7%,53%,7%,33%,0%,0%
733,Zing,62%,38%,0%,0%,0%,0%
734,Zurmi,38%,62%,0%,0%,0%,0%
735,Zuru,0%,100%,0%,0%,0%,0%
736,keana,12%,88%,0%,0%,0%,0%
737,ogori/magongo,0%,100%,0%,0%,0%,0%
